state,lat,long,p_biden,group,p(biden)
Alabama (9),30.389680862426758,-87.462005615234375,0.049,1,0.05
Alabama (9),30.37249183654785,-87.48493194580078,0.049,1,0.05
Alabama (9),30.37249183654785,-87.52503204345703,0.049,1,0.05
Alabama (9),30.332386016845703,-87.53076171875,0.049,1,0.05
Alabama (9),30.3266544342041,-87.57086944580078,0.049,1,0.05
Alabama (9),30.3266544342041,-87.58805847167969,0.049,1,0.05
Alabama (9),30.309467315673828,-87.59378814697266,0.049,1,0.05
Alabama (9),30.286548614501953,-87.59378814697266,0.049,1,0.05
Alabama (9),30.275089263916016,-87.67400360107422,0.049,1,0.05
Alabama (9),30.257902145385742,-87.81151580810547,0.049,1,0.05
Alabama (9),30.246440887451172,-87.88026428222656,0.049,1,0.05
Alabama (9),30.246440887451172,-87.92037200927734,0.049,1,0.05
Alabama (9),30.246440887451172,-87.95475006103516,0.049,1,0.05
Alabama (9),30.240713119506836,-88.006317138671875,0.049,1,0.05
Alabama (9),30.25217056274414,-88.01777648925781,0.049,1,0.05
Alabama (9),30.269359588623047,-88.01204681396484,0.049,1,0.05
Alabama (9),30.275089263916016,-87.99485778808594,0.049,1,0.05
Alabama (9),30.275089263916016,-87.95475006103516,0.049,1,0.05
Alabama (9),30.280820846557617,-87.90318298339844,0.049,1,0.05
Alabama (9),30.286548614501953,-87.82869720458984,0.049,1,0.05
Alabama (9),30.286548614501953,-87.80005645751953,0.049,1,0.05
Alabama (9),30.3266544342041,-87.80005645751953,0.049,1,0.05
Alabama (9),30.34384536743164,-87.8172378540039,0.049,1,0.05
Alabama (9),30.383953094482422,-87.84015655517578,0.049,1,0.05
Alabama (9),30.401142120361328,-87.85162353515625,0.049,1,0.05
Alabama (9),30.412599563598633,-87.8745346069336,0.049,1,0.05
Alabama (9),30.424060821533203,-87.90318298339844,0.049,1,0.05
Alabama (9),30.446979522705078,-87.92610168457031,0.049,1,0.05
Alabama (9),30.492813110351563,-87.93183135986328,0.049,1,0.05
Alabama (9),30.527193069458008,-87.94329071044922,0.049,1,0.05
Alabama (9),30.561569213867188,-87.92037200927734,0.049,1,0.05
Alabama (9),30.584487915039063,-87.914642333984375,0.049,1,0.05
Alabama (9),30.618864059448242,-87.92610168457031,0.049,1,0.05
Alabama (9),30.67043113708496,-87.92037200927734,0.049,1,0.05
Alabama (9),30.699077606201172,-87.94902038574219,0.049,1,0.05
Alabama (9),30.790752410888672,-87.98912811279297,0.049,1,0.05
Alabama (9),30.79648208618164,-88.006317138671875,0.049,1,0.05
Alabama (9),30.802209854125977,-88.01777648925781,0.049,1,0.05
Alabama (9),30.790752410888672,-88.03496551513672,0.049,1,0.05
Alabama (9),30.756376266479492,-88.04642486572266,0.049,1,0.05
Alabama (9),30.727725982666016,-88.052154541015625,0.049,1,0.05
Alabama (9),30.710538864135742,-88.052154541015625,0.049,1,0.05
Alabama (9),30.687620162963867,-88.06360626220703,0.049,1,0.05
Alabama (9),30.681888580322266,-88.06934356689453,0.049,1,0.05
Alabama (9),30.630325317382813,-88.08080291748047,0.049,1,0.05
Alabama (9),30.613136291503906,-88.08080291748047,0.049,1,0.05
Alabama (9),30.607406616210938,-88.097991943359375,0.049,1,0.05
Alabama (9),30.595945358276367,-88.10944366455078,0.049,1,0.05
Alabama (9),30.584487915039063,-88.11518096923828,0.049,1,0.05
Alabama (9),30.555837631225586,-88.10944366455078,0.049,1,0.05
Alabama (9),30.481355667114258,-88.12091064453125,0.049,1,0.05
Alabama (9),30.441247940063477,-88.12091064453125,0.049,1,0.05
Alabama (9),30.389680862426758,-88.12664031982422,0.049,1,0.05
Alabama (9),30.361034393310547,-88.13236999511719,0.049,1,0.05
Alabama (9),30.34384536743164,-88.143829345703125,0.049,1,0.05
Alabama (9),30.338115692138672,-88.16101837158203,0.049,1,0.05
Alabama (9),30.338115692138672,-88.17247772216797,0.049,1,0.05
Alabama (9),30.355304718017578,-88.18965911865234,0.049,1,0.05
Alabama (9),30.378223419189453,-88.22404479980469,0.049,1,0.05
Alabama (9),30.395410537719727,-88.2354965209961,0.049,1,0.05
Alabama (9),30.401142120361328,-88.28706359863281,0.049,1,0.05
Alabama (9),30.401142120361328,-88.31571197509766,0.049,1,0.05
Alabama (9),30.401142120361328,-88.33290100097656,0.049,1,0.05
Alabama (9),30.424060821533203,-88.35009765625,0.049,1,0.05
Alabama (9),30.412599563598633,-88.39020538330078,0.049,1,0.05
Alabama (9),30.733457565307617,-88.40738677978516,0.049,1,0.05
Alabama (9),30.99701690673828,-88.4188461303711,0.049,1,0.05
Alabama (9),31.12306785583496,-88.43030548095703,0.049,1,0.05
Alabama (9),31.432466506958008,-88.4532241821289,0.049,1,0.05
Alabama (9),31.696025848388672,-88.46468353271484,0.049,1,0.05
