state,lower,mean,upper,cand
Alabama,0.22620781004352727,0.33083799324556346,0.4335711894785323,biden
Alaska,0.2571710592639689,0.3673699298170932,0.47617861785105964,biden
Arizona,0.41313201612666706,0.4868523833272926,0.5622617079655143,biden
Arkansas,0.22459511340357952,0.32926003786690117,0.433197143486337,biden
California,0.5504908696318151,0.6194164183341433,0.6875168111940131,biden
Colorado,0.41462830843529264,0.5049424759039466,0.595328706727213,biden
Connecticut,0.45072002501045194,0.5306835494540476,0.6096670306916976,biden
Delaware,0.41817684261015625,0.5242314538873274,0.6279926671940137,biden
District of Columbia,0.7657266952776911,0.857854731934255,0.9401475357982622,biden
Florida,0.44366849614442316,0.4968734932795653,0.5500722590936555,biden
Georgia,0.3821606479065203,0.4645023815164097,0.5476277157218755,biden
Hawaii,0.5003469213748036,0.6092387569623611,0.7161445542004604,biden
Idaho,0.1714370892175011,0.2796452852461428,0.38915584729282154,biden
Illinois,0.4436371866454045,0.550109997727013,0.6546231174330137,biden
Indiana,0.3125697583785111,0.40180072452689947,0.4912280090763372,biden
Iowa,0.3754966312303517,0.4536329339263903,0.5322245123480438,biden
Kansas,0.2863656536629554,0.3820423575632873,0.4789051194882302,biden
Kentucky,0.21514910849582983,0.31754796750567615,0.4195814430931141,biden
Louisiana,0.2652694634023435,0.37143153111478144,0.47424533857518214,biden
Maine,0.37650490401440956,0.47737553983657655,0.5770751815730261,biden
Maryland,0.5111901975286279,0.614570738918702,0.7164937644296686,biden
Massachusetts,0.5276375685578051,0.6052354943869998,0.6808785785551024,biden
Michigan,0.44199015310897555,0.49893541853585116,0.5552686793311538,biden
Minnesota,0.35427931351610725,0.46230335133310296,0.5687481586459764,biden
Mississippi,0.30729186121085267,0.4008911573808464,0.49446486990894956,biden
Missouri,0.28540203185316404,0.38352838396899397,0.48119126472992113,biden
Montana,0.28698631983660944,0.3813872922028174,0.4767911986464797,biden
Nebraska,0.23162496029484866,0.33670532375226914,0.4395008961347497,biden
Nevada,0.4147161424558206,0.500609554051362,0.5867092358755099,biden
New Hampshire,0.3983811732134226,0.4816321954913174,0.5633232580677178,biden
New Jersey,0.46522567340435866,0.5451182910177479,0.6235632346328621,biden
New Mexico,0.41825664210635943,0.5102168990996683,0.6025275090643428,biden
New York,0.512750569219145,0.5906267848363362,0.6664942303565652,biden
North Carolina,0.45077317102392994,0.5074696891929452,0.5649453005180063,biden
North Dakota,0.15365244412695017,0.2596769841354029,0.362310581825122,biden
Ohio,0.3786848286941062,0.4584453339974875,0.5383871297324426,biden
Oklahoma,0.16278517930961067,0.2695574423314395,0.3721706622213682,biden
Oregon,0.4095056261061138,0.5153207813366216,0.6191756829126507,biden
Pennsylvania,0.4523238220464443,0.5127179999876997,0.5726181346424821,biden
Rhode Island,0.4321436721892531,0.5387538525324908,0.6428411942383316,biden
South Carolina,0.31962634201054957,0.4147887766806734,0.5089664380143775,biden
South Dakota,0.2069174473494077,0.3137350618476657,0.4198059693509309,biden
Tennessee,0.23208991314236874,0.33831774209032534,0.44277597252246326,biden
Texas,0.39579432956754607,0.4592093683327301,0.5219389882009986,biden
Utah,0.256747407565575,0.34178372561439635,0.4302583268823867,biden
Vermont,0.45218807417299617,0.5614252996966717,0.6682005066635706,biden
Virginia,0.4043795080020687,0.49585562130394445,0.5859727289988146,biden
Washington,0.4417934658359443,0.5383672314667303,0.6322851919164091,biden
West Virginia,0.15228286534136504,0.2564593552640795,0.35899537613835475,biden
Wisconsin,0.42907299016033185,0.491575027586562,0.5544232802855898,biden
Wyoming,0.11267845444679911,0.2199262055355583,0.3258049429136944,biden
