"state","dem","rep","other","ev"
"Alabama",0.383590330987525,0.605458223298228,0.0109514457142471,9
"Alaska",0.408126591124644,0.548015773972945,0.043857634902411,3
"Arizona",0.445897669417994,0.536545331659747,0.0175569989222591,11
"Arkansas",0.368789903017201,0.605669360841091,0.0255407361417078,6
"California",0.602389591416896,0.371203785207048,0.0264066233760556,55
"Colorado",0.514921452316812,0.461269839293067,0.0238087083901208,9
"Connecticut",0.580568455893673,0.407253553651152,0.0121779904551752,7
"Delaware",0.586063524199062,0.399796096356551,0.0141403794443867,3
"District of Columbia",0.909131139281873,0.0727829141760052,0.0180859465421222,3
"Florida",0.500078650686987,0.491309777619755,0.00861157169325784,29
"Georgia",0.45482160485122,0.532990089870643,0.0121883052781375,16
"Hawaii",0.705452303558571,0.278389314856095,0.0161583815853342,4
"Idaho",0.326223335592098,0.645297834958928,0.0284788294489739,4
"Illinois",0.576021353624771,0.407327412708169,0.01665123366706,20
"Indiana",0.439273029040584,0.541255323802245,0.0194716471571715,11
"Iowa",0.519880165341491,0.461778685105361,0.0183411495531482,6
"Kansas",0.37994570553919,0.597113203692161,0.0229410907686485,6
"Kentucky",0.378013278344458,0.604931415993216,0.0170553056623259,8
"Louisiana",0.405774636233022,0.577845757284743,0.016379606482236,8
"Maine",0.562699458762164,0.409820802602429,0.0274797386354076,4
"Maryland",0.619741907793185,0.358977323389454,0.0212807688173612,10
"Massachusetts",0.606512410792839,0.375126705973009,0.018360883234152,11
"Michigan",0.542082042105188,0.447109160274202,0.0108087976206103,16
"Minnesota",0.526523031532463,0.449582011066686,0.0238949574008509,10
"Mississippi",0.437893595439893,0.552858467435811,0.00924793712429526,6
"Missouri",0.443834835454533,0.537637411358771,0.0185277531866959,10
"Montana",0.416981373748058,0.553515353849205,0.0295032724027369,3
"Nebraska",0.38027314417929,0.59803192179048,0.0216949340302299,5
"Nevada",0.523562494704006,0.456753156412636,0.0196843488833581,6
"New Hampshire",0.51979684150712,0.464037964926889,0.0161651935659913,4
"New Jersey",0.583772125972312,0.405892714100957,0.0103351599267312,14
"New Mexico",0.529927605204668,0.428433266390901,0.041639128404431,5
"New York",0.633475536984835,0.351698217763505,0.0148262452516601,29
"North Carolina",0.483509685770676,0.503930641021429,0.0125596732078949,15
"North Dakota",0.386908101305842,0.583221491071733,0.0298704076224247,3
"Ohio",0.506680975127969,0.476887648057723,0.0164313768143079,18
"Oklahoma",0.332276802569834,0.667723197430166,0,7
"Oregon",0.54239326652769,0.421498711765133,0.0361080217071767,7
"Pennsylvania",0.519715937827508,0.46586509132432,0.0144189708481717,20
"Rhode Island",0.627009588632639,0.35243661570814,0.0205537956592213,4
"South Carolina",0.440880334073615,0.545611312558614,0.0135083533677712,9
"South Dakota",0.398661407583525,0.578893118755411,0.022445473661064,3
"Tennessee",0.390758149937952,0.594787147199376,0.0144547028626722,11
"Texas",0.413833582837609,0.571669774680564,0.0144966424818276,38
"Utah",0.247496658279604,0.727905331026891,0.0245980106935053,6
"Vermont",0.665705503023823,0.309726352367269,0.0245681446089077,3
"Virginia",0.511564567962186,0.472831028963891,0.0156044030739224,13
"Washington",0.561633982996728,0.412946214321091,0.0254198026821811,12
"West Virginia",0.355393041563873,0.622958424194333,0.0216485342417942,5
"Wisconsin",0.528277616530126,0.458854907747731,0.0128674757221436,10
"Wyoming",0.278188877423603,0.686426216870566,0.0353849057058311,3
