"V1","V2","V3"
0.051,0.037,0.036
0.017,0.038,0.043
0.027,0.032,0.03
0.034,0.02,0.035
0.023,0.023,0.011
0.02,0.022,0.025
0.016,0.035,0.025
0.088,0.067,0.054
0.018,0.018,0.01
0.003,0.012,0.012
0.06,0.055,0.047
0.031,0.068,0.056
0.027,0.024,0.027
0.016,0.027,0.018
0.014,0.033,0.021
0.031,0.034,0.03
0.011,0.058,0.054
0.058,0.029,0.041
0.017,0.035,0.03
0.023,0.032,0.014
0.019,0.043,0.034
0.02,0.027,0.016
0.016,0.03,0.021
0.048,0.051,0.006
0.017,0.027,0.021
0.025,0.022,0.035
0.03,0.037,0.025
0.013,0.02,0.013
0.017,0.026,0.029
0.023,0.027,0.017
0.012,0.034,0.024
0.023,0.024,0.017
0.017,0.024,0.009
0.016,0.03,0.033
0.011,0.028,0.02
0.024,0.04,0.031
0.031,0.023,0.019
0.014,0.017,0.015
0.029,0.036,0.058
0.024,0.046,0.026
0.041,0.047,0.046
0.032,0.044,0.028
0.017,0.02,0.025
0.025,0.027,0.029
0.062,0.079,0.042
0.01,0.018,0.015
0.019,0.019,0.016
0.035,0.046,0.033
0.02,0.029,0.016
0.095,0.106,0.133
0.219,0.25,0.236
