state,lower,mean,upper,cand
Alabama,0.192555133121199,0.323063527305779,0.455450497649287,biden
Alaska,0.15503290867613,0.342592429914114,0.531631032204503,biden
Arizona,0.422402626257167,0.463827928705172,0.505362410308437,biden
Arkansas,0.112855688045971,0.297981793559098,0.480816717260165,biden
California,0.523827692516565,0.601106163288986,0.67736812580214,biden
Colorado,0.338972391771035,0.523046759877944,0.705907938841504,biden
Connecticut,0.360884134641431,0.493637225674382,0.627054831445406,biden
Delaware,0.382607169817268,0.5364481445753,0.691367521091227,biden
District of Columbia,0.604734426801528,0.763444245691035,0.906796954135619,biden
Florida,0.381826758844656,0.437198391269243,0.493208675016557,biden
Georgia,0.353760725285428,0.43611079316241,0.518606591384702,biden
Hawaii,0.372351410981961,0.563162549606375,0.750651765832832,biden
Idaho,0.0825655308182279,0.262470489977738,0.450184599878689,biden
Illinois,0.313940101669014,0.507422670976155,0.700938985931712,biden
Indiana,0.150749057899146,0.334776596930618,0.520315966491522,biden
Iowa,0.362945871570176,0.427004132885112,0.492031950830199,biden
Kansas,0.318981161407022,0.397930603984946,0.478285374942596,biden
Kentucky,0.110354064010127,0.289489507106819,0.471412239720604,biden
Louisiana,0.152437056978115,0.335978194959091,0.518522798552821,biden
Maine,0.39881842253713,0.500705626065509,0.601126549194642,biden
Maryland,0.361775896513167,0.548904489469843,0.731411467832052,biden
Massachusetts,0.370026088509853,0.552808874129182,0.733721941563947,biden
Michigan,0.433287371592476,0.486337488788107,0.539977622215641,biden
Minnesota,0.183100002407991,0.37212503140012,0.554792320718822,biden
Mississippi,0.282467547912221,0.401208764532866,0.520704277976365,biden
Missouri,0.1463762057002,0.335717821053044,0.52005406238671,biden
Montana,0.138524358888012,0.324503676988645,0.50973162116934,biden
Nebraska,0.12591288084409,0.30570554256914,0.489713302372154,biden
Nevada,0.361536926286124,0.458846407983278,0.556616432674755,biden
New Hampshire,0.463446948590272,0.529778587125674,0.594329126200849,biden
New Jersey,0.292914649745896,0.490928403663875,0.683628531845794,biden
New Mexico,0.338992048626579,0.471962416506866,0.600693872876463,biden
New York,0.420120156420027,0.540819667208347,0.659249382398624,biden
North Carolina,0.415994571557434,0.464175344578639,0.51105844882988,biden
North Dakota,0.084772028683944,0.256056632997672,0.432740646648303,biden
Ohio,0.39485989232438,0.469775180811825,0.543401377022692,biden
Oklahoma,0.0816620887408766,0.25937615357592,0.444294235423878,biden
Oregon,0.279657122763427,0.475573319282707,0.663801498139721,biden
Pennsylvania,0.400463311700257,0.474765240458079,0.549984655912981,biden
Rhode Island,0.303249449683057,0.494787823602438,0.685358916785438,biden
South Carolina,0.337494671483605,0.449570462421903,0.559357515822702,biden
South Dakota,0.107296524624932,0.285810960320583,0.467444420791183,biden
Tennessee,0.18926985808303,0.323606065325066,0.462989207090497,biden
Texas,0.415166004981909,0.456949633223712,0.498848768520811,biden
Utah,0.0990116439408239,0.281820732928712,0.472964972874929,biden
Vermont,0.32657884173145,0.520869930197963,0.71030323018953,biden
Virginia,0.345633825550534,0.436501568172105,0.526720391633997,biden
Washington,0.459565342173968,0.559614666966923,0.657569796660921,biden
West Virginia,0.0720242531017513,0.240956241545373,0.412897469854591,biden
Wisconsin,0.410015485584417,0.456009423471792,0.501342116120144,biden
Wyoming,0.0543097594914188,0.216993661828509,0.398235534486197,biden
