state,lower,mean,upper,cand
Alabama,0.477767738996062,0.605649287882452,0.727997587587147,trump
Alaska,0.303061417901822,0.483893324684491,0.66295277145635,trump
Arizona,0.406660537683965,0.4478813490881,0.489663950945742,trump
Arkansas,0.383283698175124,0.558980556040932,0.730648461122973,trump
California,0.244462760961846,0.317148534148467,0.393157134577445,trump
Colorado,0.227131170501657,0.399298350129858,0.576110598324392,trump
Connecticut,0.22526910937562,0.355251410482627,0.485336462664531,trump
Delaware,0.217552596821594,0.36337403802664,0.507181471884894,trump
District of Columbia,0.0172518708107606,0.108823777295549,0.222716976764272,trump
Florida,0.431255623933532,0.485879984218687,0.540574530411889,trump
Georgia,0.424597098616167,0.503599577081626,0.582685666301043,trump
Hawaii,0.100744388328683,0.272151920969248,0.442982514061653,trump
Idaho,0.388811290494025,0.56197940881295,0.732239895127428,trump
Illinois,0.173453828304244,0.349493596664664,0.524477623061615,trump
Indiana,0.348091500246096,0.520979656759897,0.691624133647227,trump
Iowa,0.428821293636596,0.495197645587025,0.561129653830028,trump
Kansas,0.449296093592173,0.530447264762946,0.609521225727653,trump
Kentucky,0.403491108822721,0.577209788407648,0.749598593953151,trump
Louisiana,0.356240589250394,0.531811342730376,0.707806807810036,trump
Maine,0.33159947277998,0.428388000943406,0.526861493379644,trump
Maryland,0.13753757992185,0.305436595540424,0.471707779665807,trump
Massachusetts,0.12071443105216,0.297732834866834,0.474471377817808,trump
Michigan,0.372717691860642,0.434937681727275,0.496295901265023,trump
Minnesota,0.197239917597346,0.362053358846502,0.526723771549649,trump
Mississippi,0.425297866139645,0.538026161044552,0.649414020987945,trump
Missouri,0.35089498302283,0.525942560875168,0.698685501155432,trump
Montana,0.35203674172426,0.525659040711834,0.700190610516976,trump
Nebraska,0.377351711308405,0.552678337323284,0.725892052458627,trump
Nevada,0.334286065813055,0.429952822737524,0.523930741497159,trump
New Hampshire,0.384151318499188,0.449637461692143,0.514654277467933,trump
New Jersey,0.194056090041469,0.372147022188052,0.551162301552807,trump
New Mexico,0.305932275294843,0.431908070363073,0.558322637138067,trump
New York,0.221808607144133,0.335269942256259,0.447891742113398,trump
North Carolina,0.407962347942919,0.457351585606171,0.506911273110544,trump
North Dakota,0.411828456274332,0.58891514698156,0.762867341675172,trump
Ohio,0.373756551319952,0.445882656580418,0.518517874664269,trump
Oklahoma,0.426407072784548,0.602551009946954,0.774480630095327,trump
Oregon,0.192154666027012,0.370305156387155,0.549873926686899,trump
Pennsylvania,0.369882176436543,0.442762814607422,0.515527697030055,trump
Rhode Island,0.179511323027052,0.359692237556102,0.538947046877161,trump
South Carolina,0.393715673588446,0.498275272485231,0.602533631749747,trump
South Dakota,0.406029643313072,0.576518389382553,0.747180781094932,trump
Tennessee,0.441762818711845,0.570234831939934,0.698621694264372,trump
Texas,0.423136040925869,0.469875002372719,0.515968976609522,trump
Utah,0.269177286100925,0.451161437861668,0.628067849447865,trump
Vermont,0.111775820882655,0.281542371916378,0.458165868771347,trump
Virginia,0.310444888606456,0.401513600722406,0.495281923466505,trump
Washington,0.245914470716285,0.339236875521467,0.433832664157599,trump
West Virginia,0.457435335385198,0.630239454912028,0.800083228197854,trump
Wisconsin,0.404654443036414,0.452334663998174,0.502366444957486,trump
Wyoming,0.456219575494021,0.625676653127676,0.792651580442273,trump
